state,year,population
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12841578
Illinois,2011,12860012
Illinois,2012,12870798
Illinois,2013,12879505
Illinois,2014,12867544
Illinois,2015,12839047
Illinois,2016,12801539
Indiana,1994,5793526
Indiana,1995,5851459
Indiana,1996,5906013
Indiana,1997,5955267
Indiana,1998,5998880
Indiana,1999,6044969
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490528
Indiana,2011,6516480
Indiana,2012,6537743
Indiana,2013,6569102
Indiana,2014,6595233
Indiana,2015,6612768
Indiana,2016,6633053
Iowa,1994,2850746
Iowa,1995,2867373
Iowa,1996,2880000
Iowa,1997,2891119
Iowa,1998,2902872
Iowa,1999,2917634
Iowa,2000,2929067
Iowa,2001,2931997
Iowa,2002,2934234
Iowa,2003,2941999
Iowa,2004,2953635
Iowa,2005,2964454
Iowa,2006,2982644
Iowa,2007,2999212
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3050738
Iowa,2011,3065223
Iowa,2012,3076310
Iowa,2013,3091930
Iowa,2014,3108030
Iowa,2015,3121997
Iowa,2016,3134693
Kansas,1994,2580513
Kansas,1995,2601007
Kansas,1996,2614554
Kansas,1997,2635292
Kansas,1998,2660598
Kansas,1999,2678338
Kansas,2000,2693681
Kansas,2001,2702162
Kansas,2002,2713535
Kansas,2003,2723004
Kansas,2004,2734373
Kansas,2005,2745299
Kansas,2006,2762931
Kansas,2007,2783785
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2858850
Kansas,2011,2869503
Kansas,2012,2885262
Kansas,2013,2892821
Kansas,2014,2899360
Kansas,2015,2906721
Kansas,2016,2907289
Kentucky,1994,3849088
Kentucky,1995,3887427
Kentucky,1996,3919535
Kentucky,1997,3952747
Kentucky,1998,3985390
Kentucky,1999,4018053
Kentucky,2000,4049021
Kentucky,2001,4068132
Kentucky,2002,4089875
Kentucky,2003,4117170
Kentucky,2004,4146101
Kentucky,2005,4182742
Kentucky,2006,4219239
Kentucky,2007,4256672
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4348662
Kentucky,2011,4369354
Kentucky,2012,4384799
Kentucky,2013,4400477
Kentucky,2014,4413057
Kentucky,2015,4424611
Kentucky,2016,4436974
Louisiana,1994,4347481
Louisiana,1995,4378779
Louisiana,1996,4398877
Louisiana,1997,4421071
Louisiana,1998,4440344
Louisiana,1999,4460811
Louisiana,2000,4471885
Louisiana,2001,4477875
Louisiana,2002,4497267
Louisiana,2003,4521042
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544996
Louisiana,2011,4575404
Louisiana,2012,4603429
Louisiana,2013,4626402
Louisiana,2014,4647880
Louisiana,2015,4668960
Louisiana,2016,4681666
Maine,1994,1242662
Maine,1995,1243480
Maine,1996,1249060
Maine,1997,1254774
Maine,1998,1259127
Maine,1999,1266808
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327730
Maine,2011,1328231
Maine,2012,1328895
Maine,2013,1329076
Maine,2014,1330719
Maine,2015,1329453
Maine,2016,1331479
Maryland,1994,5023060
Maryland,1995,5070033
Maryland,1996,5111986
Maryland,1997,5157328
Maryland,1998,5204464
Maryland,1999,5254509
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5788584
Maryland,2011,5843603
Maryland,2012,5889651
Maryland,2013,5931129
Maryland,2014,5967295
Maryland,2015,5994983
Maryland,2016,6016447
Massachusetts,1994,6095241
Massachusetts,1995,6141445
Massachusetts,1996,6179756
Massachusetts,1997,6226058
Massachusetts,1998,6271838
Massachusetts,1999,6317345
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6565524
Massachusetts,2011,6611923
Massachusetts,2012,6658008
Massachusetts,2013,6706786
Massachusetts,2014,6749911
Massachusetts,2015,6784240
Massachusetts,2016,6811779
Michigan,1994,9597737
Michigan,1995,9676211
Michigan,1996,9758645
Michigan,1997,9809051
Michigan,1998,9847942
Michigan,1999,9897116
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877495
Michigan,2011,9876213
Michigan,2012,9887238
Michigan,2013,9898982
Michigan,2014,9915767
Michigan,2015,9917715
Michigan,2016,9928300
Minnesota,1994,4610355
Minnesota,1995,4660180
Minnesota,1996,4712827
Minnesota,1997,4763390
Minnesota,1998,4813412
Minnesota,1999,4873481
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5311147
Minnesota,2011,5348562
Minnesota,2012,5380285
Minnesota,2013,5418521
Minnesota,2014,5453109
Minnesota,2015,5482435
Minnesota,2016,5519952
Mississippi,1994,2688992
Mississippi,1995,2722659
Mississippi,1996,2748085
Mississippi,1997,2777004
Mississippi,1998,2804834
Mississippi,1999,2828408
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970322
Mississippi,2011,2978162
Mississippi,2012,2984945
Mississippi,2013,2990482
Mississippi,2014,2992400
Mississippi,2015,2989390
Mississippi,2016,2988726
Missouri,1994,5324497
Missouri,1995,5378247
Missouri,1996,5431553
Missouri,1997,5481193
Missouri,1998,5521765
Missouri,1999,5561948
Missouri,2000,5607285
Missouri,2001,5641142
Missouri,2002,5674825
Missouri,2003,5709403
Missouri,2004,5747741
Missouri,2005,5790300
Missouri,2006,5842704
Missouri,2007,5887612
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5996118
Missouri,2011,6010717
Missouri,2012,6025415
Missouri,2013,6042711
Missouri,2014,6060930
Missouri,2015,6076204
Missouri,2016,6093000
Montana,1994,861306
Montana,1995,876553
Montana,1996,886254
Montana,1997,889865
Montana,1998,892431
Montana,1999,897507
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990641
Montana,2011,997821
Montana,2012,1005196
Montana,2013,1014314
Montana,2014,1022867
Montana,2015,1032073
Montana,2016,1042520
Nebraska,1994,1639041
Nebraska,1995,1656992
Nebraska,1996,1673740
Nebraska,1997,1686418
Nebraska,1998,1695816
Nebraska,1999,1704764
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1830051
Nebraska,2011,1842283
Nebraska,2012,1855725
Nebraska,2013,1868559
Nebraska,2014,1881145
Nebraska,2015,1893765
Nebraska,2016,1907116
Nevada,1994,1499298
Nevada,1995,1581578
Nevada,1996,1666320
Nevada,1997,1764104
Nevada,1998,1853191
Nevada,1999,1934718
Nevada,2000,2018741
Nevada,2001,2098399
Nevada,2002,2173791
Nevada,2003,2248850
Nevada,2004,2346222
Nevada,2005,2432143
Nevada,2006,2522658
Nevada,2007,2601072
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2703284
Nevada,2011,2718379
Nevada,2012,2752565
Nevada,2013,2786464
Nevada,2014,2833013
Nevada,2015,2883758
Nevada,2016,2940058
New Hampshire,1994,1142560
New Hampshire,1995,1157561
New Hampshire,1996,1174719
New Hampshire,1997,1189425
New Hampshire,1998,1205940
New Hampshire,1999,1222014
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316872
New Hampshire,2011,1318473
New Hampshire,2012,1321182
New Hampshire,2013,1322687
New Hampshire,2014,1328743
New Hampshire,2015,1330111
New Hampshire,2016,1334795
New Jersey,1994,8014306
New Jersey,1995,8083242
New Jersey,1996,8149596
New Jersey,1997,8218808
New Jersey,1998,8287418
New Jersey,1999,8359592
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8803729
New Jersey,2011,8841243
New Jersey,2012,8873211
New Jersey,2013,8899162
New Jersey,2014,8925001
New Jersey,2015,8935421
New Jersey,2016,8944469
New Mexico,1994,1682398
New Mexico,1995,1720394
New Mexico,1996,1752326
New Mexico,1997,1774839
New Mexico,1998,1793484
New Mexico,1999,1808082
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
New Mexico,2006,1962137
New Mexico,2007,1990070
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2064756
New Mexico,2011,2077756
New Mexico,2012,2083784
New Mexico,2013,2085193
New Mexico,2014,2083024
New Mexico,2015,2080328
New Mexico,2016,2081015
New York,1994,18459470
New York,1995,18524104
New York,1996,18588460
New York,1997,18656546
New York,1998,18755906
New York,1999,18882725
New York,2000,19001780
New York,2001,19082838
New York,2002,19137800
New York,2003,19175939
New York,2004,19171567
New York,2005,19132610
New York,2006,19104631
New York,2007,19132335
New York,2008,19212436
New York,2009,19307066
New York,2010,19402640
New York,2011,19519529
New York,2012,19602769
New York,2013,19673546
New York,2014,19718515
New York,2015,19747183
New York,2016,19745289
North Carolina,1994,7187398
North Carolina,1995,7344674
North Carolina,1996,7500670
North Carolina,1997,7656825
North Carolina,1998,7809121
North Carolina,1999,7949361
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9558915
North Carolina,2011,9650963
North Carolina,2012,9746175
North Carolina,2013,9841590
North Carolina,2014,9934399
North Carolina,2015,10035186
North Carolina,2016,10146788
North Dakota,1994,644804
North Dakota,1995,647832
North Dakota,1996,650382
North Dakota,1997,649716
North Dakota,1998,647532
North Dakota,1999,644259
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674526
North Dakota,2011,685476
North Dakota,2012,702087
North Dakota,2013,724019
North Dakota,2014,739904
North Dakota,2015,756835
North Dakota,2016,757952
Ohio,1994,11152454
Ohio,1995,11202751
Ohio,1996,11242827
Ohio,1997,11277357
Ohio,1998,11311536
Ohio,1999,11335454
Ohio,2000,11363543
Ohio,2001,11387404
Ohio,2002,11407889
Ohio,2003,11434788
Ohio,2004,11452251
Ohio,2005,11463320
Ohio,2006,11481213
Ohio,2007,11500468
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11540983
Ohio,2011,11544824
Ohio,2012,11550839
Ohio,2013,11570022
Ohio,2014,11594408
Ohio,2015,11605090
Ohio,2016,11614373
Oklahoma,1994,3280940
Oklahoma,1995,3308208
Oklahoma,1996,3340129
Oklahoma,1997,3372917
Oklahoma,1998,3405194
Oklahoma,1999,3437147
Oklahoma,2000,3454365
Oklahoma,2001,3467100
Oklahoma,2002,3489080
Oklahoma,2003,3504892
Oklahoma,2004,3525233
Oklahoma,2005,3548597
Oklahoma,2006,3594090
Oklahoma,2007,3634349
Oklahoma,2008,3668976
Oklahoma,2009,3717572
Oklahoma,2010,3759603
Oklahoma,2011,3786274
Oklahoma,2012,3817054
Oklahoma,2013,3852415
Oklahoma,2014,3877499
Oklahoma,2015,3907414
Oklahoma,2016,3923561
Oregon,1994,3121264
Oregon,1995,3184369
Oregon,1996,3247111
Oregon,1997,3304310
Oregon,1998,3352449
Oregon,1999,3393941
Oregon,2000,3429708
Oregon,2001,3467937
Oregon,2002,3513424
Oregon,2003,3547376
Oregon,2004,3569463
Oregon,2005,3613202
Oregon,2006,3670883
Oregon,2007,3722417
Oregon,2008,3768748
Oregon,2009,3808600
Oregon,2010,3838048
Oregon,2011,3868031
Oregon,2012,3899116
Oregon,2013,3925751
Oregon,2014,3968371
Oregon,2015,4024634
Oregon,2016,4093465
Pennsylvania,1994,12166050
Pennsylvania,1995,12198403
Pennsylvania,1996,12220464
Pennsylvania,1997,12227814
Pennsylvania,1998,12245672
Pennsylvania,1999,12263805
Pennsylvania,2000,12284173
Pennsylvania,2001,12298970
Pennsylvania,2002,12331031
Pennsylvania,2003,12374658
Pennsylvania,2004,12410722
Pennsylvania,2005,12449990
Pennsylvania,2006,12510809
Pennsylvania,2007,12563937
Pennsylvania,2008,12612285
Pennsylvania,2009,12666858
Pennsylvania,2010,12712343
Pennsylvania,2011,12744293
Pennsylvania,2012,12771854
Pennsylvania,2013,12781338
Pennsylvania,2014,12790565
Pennsylvania,2015,12791904
Pennsylvania,2016,12784227
Rhode Island,1994,1015960
Rhode Island,1995,1017002
Rhode Island,1996,1020893
Rhode Island,1997,1025353
Rhode Island,1998,1031155
Rhode Island,1999,1040402
Rhode Island,2000,1050268
Rhode Island,2001,1057142
Rhode Island,2002,1065995
Rhode Island,2003,1071342
Rhode Island,2004,1074579
Rhode Island,2005,1067916
Rhode Island,2006,1063096
Rhode Island,2007,1057315
Rhode Island,2008,1055003
Rhode Island,2009,1053646
Rhode Island,2010,1053337
Rhode Island,2011,1052451
Rhode Island,2012,1052901
Rhode Island,2013,1053033
Rhode Island,2014,1054480
Rhode Island,2015,1055607
Rhode Island,2016,1056426
South Carolina,1994,3705397
South Carolina,1995,3748582
South Carolina,1996,3796200
South Carolina,1997,3859696
South Carolina,1998,3919235
South Carolina,1999,3974682
South Carolina,2000,4024223
South Carolina,2001,4064995
South Carolina,2002,4107795
South Carolina,2003,4150297
South Carolina,2004,4210921
South Carolina,2005,4270150
South Carolina,2006,4357847
South Carolina,2007,4444110
South Carolina,2008,4528996
South Carolina,2009,4589872
South Carolina,2010,4635943
South Carolina,2011,4672637
South Carolina,2012,4720760
South Carolina,2013,4767894
South Carolina,2014,4828430
South Carolina,2015,4894834
South Carolina,2016,4961119
South Dakota,1994,730790
South Dakota,1995,737925
South Dakota,1996,742213
South Dakota,1997,744223
South Dakota,1998,746058
South Dakota,1999,750412
South Dakota,2000,755844
South Dakota,2001,757972
South Dakota,2002,760020
South Dakota,2003,763729
South Dakota,2004,770396
South Dakota,2005,775493
South Dakota,2006,783033
South Dakota,2007,791623
South Dakota,2008,799124
South Dakota,2009,807067
South Dakota,2010,816325
South Dakota,2011,824398
South Dakota,2012,834441
South Dakota,2013,844922
South Dakota,2014,852561
South Dakota,2015,857919
South Dakota,2016,865454
Tennessee,1994,5231438
Tennessee,1995,5326936
Tennessee,1996,5416643
Tennessee,1997,5499233
Tennessee,1998,5570045
Tennessee,1999,5638706
Tennessee,2000,5703719
Tennessee,2001,5750789
Tennessee,2002,5795918
Tennessee,2003,5847812
Tennessee,2004,5910809
Tennessee,2005,5991057
Tennessee,2006,6088766
Tennessee,2007,6175727
Tennessee,2008,6247411
Tennessee,2009,6306019
Tennessee,2010,6356671
Tennessee,2011,6397634
Tennessee,2012,6454306
Tennessee,2013,6494821
Tennessee,2014,6544663
Tennessee,2015,6595056
Tennessee,2016,6651194
Texas,1994,18564062
Texas,1995,18958751
Texas,1996,19340342
Texas,1997,19740317
Texas,1998,20157531
Texas,1999,20558220
Texas,2000,20944499
Texas,2001,21319622
Texas,2002,21690325
Texas,2003,22030931
Texas,2004,22394023
Texas,2005,22778123
Texas,2006,23359580
Texas,2007,23831983
Texas,2008,24309039
Texas,2009,24801761
Texas,2010,25244310
Texas,2011,25646389
Texas,2012,26071655
Texas,2013,26473525
Texas,2014,26944751
Texas,2015,27429639
Texas,2016,27862596
Utah,1994,1960446
Utah,1995,2014177
Utah,1996,2067976
Utah,1997,2119784
Utah,1998,2165960
Utah,1999,2203482
Utah,2000,2244502
Utah,2001,2283715
Utah,2002,2324815
Utah,2003,2360137
Utah,2004,2401580
Utah,2005,2457719
Utah,2006,2525507
Utah,2007,2597746
Utah,2008,2663029
Utah,2009,2723421
Utah,2010,2775326
Utah,2011,2816124
Utah,2012,2855782
Utah,2013,2902663
Utah,2014,2941836
Utah,2015,2990632
Utah,2016,3051217
Vermont,1994,583836
Vermont,1995,589002
Vermont,1996,593701
Vermont,1997,597239
Vermont,1998,600416
Vermont,1999,604683
Vermont,2000,609618
Vermont,2001,612223
Vermont,2002,615442
Vermont,2003,617858
Vermont,2004,619920
Vermont,2005,621215
Vermont,2006,622892
Vermont,2007,623481
Vermont,2008,624151
Vermont,2009,624817
Vermont,2010,625982
Vermont,2011,626730
Vermont,2012,626444
Vermont,2013,627140
Vermont,2014,626984
Vermont,2015,626088
Vermont,2016,624594
Virginia,1994,6593139
Virginia,1995,6670693
Virginia,1996,6750884
Virginia,1997,6829183
Virginia,1998,6900918
Virginia,1999,7000174
Virginia,2000,7105817
Virginia,2001,7198362
Virginia,2002,7286873
Virginia,2003,7366977
Virginia,2004,7475575
Virginia,2005,7577105
Virginia,2006,7673725
Virginia,2007,7751000
Virginia,2008,7833496
Virginia,2009,7925937
Virginia,2010,8025773
Virginia,2011,8110035
Virginia,2012,8192048
Virginia,2013,8262692
Virginia,2014,8317372
Virginia,2015,8367587
Virginia,2016,8411808
Washington,1994,5375161
Washington,1995,5481027
Washington,1996,5569753
Washington,1997,5674747
Washington,1998,5769562
Washington,1999,5842564
Washington,2000,5910512
Washington,2001,5985722
Washington,2002,6052349
Washington,2003,6104115
Washington,2004,6178645
Washington,2005,6257305
Washington,2006,6370753
Washington,2007,6461587
Washington,2008,6562231
Washington,2009,6667426
Washington,2010,6743226
Washington,2011,6822520
Washington,2012,6895226
Washington,2013,6968006
Washington,2014,7054196
Washington,2015,7160290
Washington,2016,7288000
West Virginia,1994,1820421
West Virginia,1995,1823700
West Virginia,1996,1822808
West Virginia,1997,1819113
West Virginia,1998,1815609
West Virginia,1999,1811799
West Virginia,2000,1807021
West Virginia,2001,1801481
West Virginia,2002,1805414
West Virginia,2003,1812295
West Virginia,2004,1816438
West Virginia,2005,1820492
West Virginia,2006,1827912
West Virginia,2007,1834052
West Virginia,2008,1840310
West Virginia,2009,1847775
West Virginia,2010,1854230
West Virginia,2011,1854972
West Virginia,2012,1856560
West Virginia,2013,1853231
West Virginia,2014,1848514
West Virginia,2015,1841053
West Virginia,2016,1831102
Wisconsin,1994,5133678
Wisconsin,1995,5184836
Wisconsin,1996,5229986
Wisconsin,1997,5266213
Wisconsin,1998,5297672
Wisconsin,1999,5332666
Wisconsin,2000,5373999
Wisconsin,2001,5406835
Wisconsin,2002,5445162
Wisconsin,2003,5479203
Wisconsin,2004,5514026
Wisconsin,2005,5546166
Wisconsin,2006,5577655
Wisconsin,2007,5610775
